location_id,name
LOC-001,Central Hub
LOC-002,Emerson Innovations
LOC-003,Cherry Street Yard
LOC-004,Premium Pallets 34
LOC-005,Midwest Wood Fiber - Decatur
LOC-006,Home Yard
LOC-007,Avanti Manufacturing
LOC-008,Remington Plant
LOC-009,Interplast Group
LOC-010,Lakeside Lumber
LOC-011,Random House Distribution
LOC-012,Cutstock Intake
LOC-013,FFT Lok K Facility
LOC-014,Cutstock Loadout
LOC-015,Blue Buffalo Pet Foods
LOC-016,Honda Manufacturing
LOC-017,T&L Nursery
LOC-018,Caterpillar Veterans Plant
LOC-019,IPC Delphi Plant
LOC-020,Delphi Technologies
LOC-021,Riverside Transfer Station
LOC-022,Northgate Distribution Center
